latitude,longitude,area_in_meters,confidence,full_plus_code,Country,Province,State,County,Municipality,City,Suburb,Type,AddressType,Amenity,OSM_Type,OSM_ID,Building_material,Roof_materials,Surface,geometry,height_net,height_gross,vol_2025,vol_2030,pop_2025,pop_2030
-26.1832311,28.22539434,730.8819,0.9516,5G5CR68G+P52P,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Hughes Exts,unclassified,road,,way,1167935331.0,,,asphalt,POINT (28.22539434 -26.1832311),10.711628913879395,3.712125778198242,37030.0,37030.0,4.108217239379883,4.453116416931152
-26.5549192,28.18505639,1562.3264,0.9622,5G5CC5WP+22M9,South Africa,,Gauteng,Sedibeng District Municipality,,Midvaal Local Municipality,Midvaal Ward 1,unclassified,road,,way,762172382.0,,,,POINT (28.18505639 -26.5549192),2.5,0.33842748403549194,3838.0,3838.0,2.9245803356170654,2.696794271469116
-26.63872463,28.28603867,399.274,0.9519,5G5C976P+GC72,South Africa,,Gauteng,Sedibeng District Municipality,,Lesedi Local Municipality,Lesedi Ward 6,residential,road,,way,761513787.0,,,,POINT (28.28603867 -26.63872463),2.5,0.07004000246524811,710.0,710.0,0.5179851651191711,0.4723086357116699
-27.06030486,25.6673564,417.2804,0.9577,5G47WMQ8+VWHV,South Africa,,North West,Dr Ruth Segomotsi Mompati District Municipality,,Mamusa Local Municipality,Mamusa Ward 1,unclassified,road,,way,776981165.0,,,,POINT (25.6673564 -27.06030486),2.5,0.5094450116157532,7643.0,7643.0,14.040802001953125,13.019067764282227
-25.92600437,28.0620517,1100.8799,0.9565,5G6C33F6+HRVW,South Africa,,Gauteng,City of Tshwane Metropolitan Municipality,,,Tshwane Ward 48,residential,road,,way,727466771.0,,,,POINT (28.0620517 -25.92600437),2.5,0.802097499370575,8020.0,8020.0,6.884446144104004,6.221169948577881
-25.84982602,28.18033246,582.2565,0.9572,5G6C552J+348W,South Africa,,Gauteng,City of Tshwane Metropolitan Municipality,,,Tshwane Ward 57,golf_course,leisure,,way,872289582.0,,,,POINT (28.18033246 -25.84982602),7.022073745727539,0.6878823041915894,7577.0,7577.0,11.908504486083984,11.71967601776123
-25.86462451,28.06714636,5280.6117,0.9689,5G6C43P8+5V24,South Africa,,Gauteng,City of Tshwane Metropolitan Municipality,,,Tshwane Ward 48,residential,road,,way,30073659.0,,,sand,POINT (28.06714636 -25.86462451),2.5,0.8883775472640991,8875.0,8875.0,3.7544307708740234,3.264322280883789
-26.02028601,28.01595786,3167.3527,0.9731,5G5CX2H8+V9PG,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,Randburg,Magaliessig,tertiary,road,,way,770614873.0,,,asphalt,POINT (28.01595786 -26.02028601),11.615992546081543,5.385139465332031,53933.0,53933.0,29.59234046936035,33.17942428588867
-25.97085468,28.08958277,931.2482,0.9514,5G6C23HQ+MR4W,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,,Crowthorne,residential,road,,way,725920649.0,,,,POINT (28.08958277 -25.97085468),4.63001823425293,1.2321079969406128,14330.0,14330.0,7.8501200675964355,8.500218391418457
-28.46498889,21.32831372,1867.3544,0.951,5G33G8PH+284C,South Africa,,Northern Cape,ZF Mgcawu District Municipality,,ǁKhara Hais Local Municipality,ǁKhara Hais Ward 14,administrative,suburb,,relation,3578874.0,,,,POINT (21.32831372 -28.46498889),2.5,0.16256000101566315,1638.0,1638.0,0.9416554570198059,0.8608311414718628
-26.12949827,27.85020472,2271.157,0.9632,5G59VVC2+6344,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,Roodepoort,Princess,parking,amenity,,way,122429687.0,,,,POINT (27.85020472 -26.12949827),8.756330490112305,0.6121638417243958,6305.0,6305.0,4.769011497497559,5.142117023468018
-25.83334534,28.12971196,1210.4252,0.9555,5G6C548H+MV85,South Africa,,Gauteng,City of Tshwane Metropolitan Municipality,,Pretoria,Sunderland Ridge A. H.,primary,road,,way,624812551.0,,,asphalt,POINT (28.12971196 -25.83334534),7.805907249450684,2.0717813968658447,20772.0,20772.0,0.0,0.0
-26.25295244,28.13458055,1070.8846,0.9578,5G5CP4WM+RR8W,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Ekurhuleni Ward 36,yes,building,,way,631928777.0,,,,POINT (28.13458055 -26.25295244),10.703874588012695,4.567225456237793,45663.0,45663.0,9.047310829162598,9.516437530517578
-28.72697838,24.7533207,474.0096,0.9551,5G367QF3+684V,South Africa,,Northern Cape,Frances Baard District Municipality,,Kimberley,Gemdene,tertiary,road,,way,30116335.0,,,asphalt,POINT (24.7533207 -28.72697838),7.079829692840576,3.2745699882507324,32737.0,32737.0,41.665069580078125,45.2308349609375
-29.03813192,24.60287107,969.3758,0.9528,5G26XJ63+P4XQ,South Africa,,Northern Cape,Frances Baard District Municipality,,Sol Plaatje Local Municipality,Sol Plaatje Ward 26,residential,road,,way,184718186.0,,,unpaved,POINT (24.60287107 -29.03813192),2.5,0.696465015411377,6973.0,6973.0,5.760659217834473,5.968312740325928
-26.24946366,28.27696012,976.7101,0.9508,5G5CQ72G+6Q8G,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Parkrand,school,amenity,,node,1080381753.0,,,,POINT (28.27696012 -26.24946366),6.195801258087158,2.2948007583618164,22906.0,22906.0,31.454538345336914,30.010595321655273
-28.07723429,27.20570826,548.2372,0.9527,5G39W6F4+474P,South Africa,,Free State,Lejweleputswa District Municipality,,Matjhabeng Local Municipality,Matjhabeng Ward 3,tertiary,road,,way,217393683.0,,,gravel,POINT (27.20570826 -28.07723429),2.5,0.23796001076698303,2398.0,2398.0,1.4834579229354858,1.3376730680465698
-26.12118216,28.24758077,566.2795,0.9545,5G5CV6HX+G2GP,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Rhodesfield,service,road,,way,326482660.0,,,asphalt,POINT (28.24758077 -26.12118216),6.508912563323975,3.488614559173584,34868.0,34868.0,0.2760196924209595,0.28947877883911133
-26.17902493,28.51775203,1797.2139,0.9601,5G5CRGC9+94R2,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,Victor Khanye Local Municipality,Persida,unclassified,road,,way,623941308.0,,,asphalt,POINT (28.51775203 -26.17902493),2.5,0.3868125081062317,3868.0,3868.0,3.7809526920318604,3.6723434925079346
-25.98996134,28.12455102,3170.0763,0.9744,5G6C246F+2R7G,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,,Johannesburg Ward 92,residential,road,,way,768279471.0,,,,POINT (28.12455102 -25.98996134),7.429859161376953,2.3970584869384766,23946.0,23946.0,0.0,0.0
-31.10192106,24.99753392,517.0581,0.9537,4GW6VXXX+62M2,South Africa,,Northern Cape,Pixley ka Seme District Municipality,,Umsobomvu Local Municipality,Umsobomvu Ward 2,administrative,suburb,,relation,3578370.0,,,,POINT (24.99753392 -31.10192106),2.5,0.3965350091457367,3963.0,3963.0,2.2243056297302246,2.236581563949585
-26.70549625,27.0874028,662.9264,0.9569,5G5973VP+RX25,South Africa,,North West,Potchefstroom,,Tlokwe Local Municipality,Tlokwe Ward 25,residential,road,,way,169837606.0,,,asphalt,POINT (27.0874028 -26.70549625),7.78580904006958,2.213832378387451,22135.0,22135.0,9.10301685333252,9.509991645812988
-26.03560707,27.42237938,2033.4316,0.9525,5G59XC7C+QX2J,South Africa,,North West,Bojanala Platinum District Municipality,,Rustenburg Local Municipality,Rustenburg Ward 36,administrative,suburb,,relation,3668044.0,,,,POINT (27.42237938 -26.03560707),2.5,0.16587500274181366,1710.0,1710.0,3.8329293727874756,3.7260706424713135
-26.29723801,28.45783722,1522.9474,0.9561,5G5CPF35+444H,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Selcourt,company,office,,node,9854554622.0,,,,POINT (28.45783722 -26.29723801),6.01753044128418,0.7383630275726318,8713.0,8713.0,0.07463140040636063,0.08053123950958252
-26.0998007,28.58116551,2320.3669,0.9551,5G5CWH2J+3FFV,South Africa,,Mpumalanga,Nkangala,,Victor Khanye Local Municipality,Victor Khanye Ward 9,residential,road,,way,738127526.0,,,,POINT (28.58116551 -26.0998007),2.5,0.4601549804210663,4605.0,4605.0,2.8823680877685547,2.5639522075653076
-25.85773633,27.676153,761.0644,0.9676,5G694MRG+WF2H,South Africa,,North West,Bojanala Platinum District Municipality,,Madibeng Local Municipality,Madibeng Ward 29,secondary,road,,way,98757531.0,,,asphalt,POINT (27.676153 -25.85773633),2.5,0.2981424927711487,2983.0,2983.0,7.877669334411621,7.5260162353515625
-26.80077233,28.5051095,851.4574,0.9561,5G5C5GX4+M2X4,South Africa,,Mpumalanga,Gert Sibande,,Dipaleseng Local Municipality,Dipaleseng Ward 5,residential,road,,way,769943260.0,,,,POINT (28.5051095 -26.80077233),3.3653531074523926,0.9129126071929932,9140.0,9140.0,40.80209732055664,42.816062927246094
-27.98713204,26.82344298,899.3468,0.951,5G482R7F+49WJ,South Africa,,Free State,Lejweleputswa District Municipality,,Matjhabeng Local Municipality,Hani Park,residential,road,,way,382387381.0,,,,POINT (26.82344298 -27.98713204),6.874686241149902,3.0735416412353516,30764.0,30764.0,75.71978759765625,73.26715850830078
-26.11749376,28.28171065,348.1106,0.9538,5G5CV7MJ+2M48,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Ekurhuleni Ward 100,parking,amenity,,way,382893486.0,,,asphalt,POINT (28.28171065 -26.11749376),6.545600891113281,1.5012859106063843,15173.0,15173.0,8.44675064086914,8.962553024291992
-32.88690715,26.888203,302.2418,0.9519,4GV84V7Q+67PM,South Africa,,Eastern Cape,Amathole District Municipality,,Nkonkobe Local Municipality,Nkonkobe Ward 13,administrative,suburb,,relation,3592336.0,,,,POINT (26.888203 -32.88690715),2.5,0.2506850063800812,2505.0,2505.0,1.7095733880996704,1.4084943532943726
-26.53045697,25.0168933,2596.734,0.955,5G57F298+RQ6P,South Africa,,North West,Dr Ruth Segomotsi Mompati District Municipality,,Naledi Local Municipality,Naledi Ward 1,unclassified,road,,way,712572508.0,,,unpaved,POINT (25.0168933 -26.53045697),2.5,0.5660049915313721,7800.0,7800.0,12.128331184387207,11.549958229064941
-26.03377293,27.94491144,2277.4845,0.957,5G59XW8V+FXV2,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,Roodepoort,Cosmo City,track,road,,way,712433066.0,,,,POINT (27.94491144 -26.03377293),8.279852867126465,3.115186929702759,31165.0,31165.0,32.0972900390625,34.8564567565918
-26.70388557,27.03113121,376.8716,0.9535,5G5972WJ+CFRC,South Africa,,North West,Dr Kenneth Kaunda District Municipality,,Potchefstroom,Tlokwe Ward 13,residential,road,,way,171780469.0,,,,POINT (27.03113121 -26.70388557),7.0586652755737305,3.4043660163879395,34093.0,34093.0,117.568115234375,122.8243179321289
-26.09373172,28.37306592,874.3209,0.9535,5G5CW94F+G64J,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Petit,residential,road,,way,83233358.0,,,unpaved,POINT (28.37306592 -26.09373172),2.5,0.5657950043678284,5655.0,5655.0,2.747081756591797,2.7882635593414307
-32.82725823,27.4543257,1445.6507,0.9516,4GV95FF3+3PWM,South Africa,,Eastern Cape,Buffalo City Metropolitan Municipality,,,Ngqingeni,hospital,amenity,,way,154338092.0,,,,POINT (27.4543257 -32.82725823),2.5380859375,0.31992825865745544,3254.0,3254.0,11.652660369873047,11.711299896240234
-26.16727588,27.78411538,385.2448,0.9503,5G59RQMM+3JQW,South Africa,,Gauteng,West Rand District Municipality,,Krugersdorp,Mogale City Ward 7,service,road,,way,1158968678.0,,,asphalt,POINT (27.78411538 -26.16727588),6.241121292114258,2.357121706008911,23579.0,23579.0,23.595855712890625,22.54786491394043
-26.22222178,27.52563764,1592.7202,0.9543,5G59QGHG+4763,South Africa,,Gauteng,West Rand District Municipality,,Randfontein Local Municipality,Randfontein Ward 1,unclassified,road,,way,760167802.0,,,,POINT (27.52563764 -26.22222178),2.5,0.04506000131368637,460.0,460.0,0.8289932012557983,0.7775144577026367
-25.71962194,28.27118938,446.8992,0.954,5G6C77JC+5F42,South Africa,,Gauteng,City of Tshwane Metropolitan Municipality,,Pretoria,Lindopark,unclassified,road,,way,4297242.0,,,asphalt,POINT (28.27118938 -25.71962194),3.514341115951538,0.6160288453102112,7015.0,7015.0,0.6037822365760803,0.5914076566696167
-26.41874177,28.47661578,1160.261,0.9577,5G5CHFJG+GJ58,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Ferryvale,residential,road,,way,125599915.0,,,,POINT (28.47661578 -26.41874177),6.523942470550537,2.8922529220581055,28927.0,28927.0,6.415532112121582,6.149428844451904
-26.42170086,28.11138645,342.9281,0.954,5G5CH4H6+8H6V,South Africa,,Gauteng,Sedibeng District Municipality,,Midvaal Local Municipality,Klipwater,residential,road,,way,195987070.0,,,,POINT (28.11138645 -26.42170086),2.5796144008636475,0.33593544363975525,3346.0,3346.0,4.045927047729492,4.186350345611572
-26.14904924,28.01691452,432.3516,0.9554,5G5CV228+9QM3,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,City of Johannesburg Metropolitan Municipality,,Greenside,residential,road,,way,23164591.0,,,asphalt,POINT (28.01691452 -26.14904924),7.333277225494385,3.587761640548706,35904.0,35904.0,43.680660247802734,47.0980339050293
-30.69569646,26.68451642,806.2692,0.9518,4GX88M3M+PRC4,South Africa,,Eastern Cape,Joe Gqabi District Municipality,,Maletswai Local Municipality,Maletswai Ward 5,residential,road,,way,157885611.0,,,,POINT (26.68451642 -30.69569646),6.5686211585998535,2.88922119140625,30695.0,30695.0,62.132301330566406,61.91448211669922
-32.96266114,27.66119762,513.5366,0.9512,4GV92MP6+WFPF,South Africa,,Eastern Cape,Buffalo City Metropolitan Municipality,,,Ntilini,residential,road,,way,1000974367.0,,,unpaved,POINT (27.66119762 -32.96266114),2.6436784267425537,0.28386762738227844,2842.0,2842.0,0.0,0.0
-25.92655579,28.61026887,918.8398,0.9626,5G6C3JF6+94CP,South Africa,,Gauteng,City of Tshwane Metropolitan Municipality,,,Tshwane Ward 101,unclassified,road,,way,597050087.0,,,,POINT (28.61026887 -25.92655579),2.5,0.676705002784729,6760.0,6760.0,7.311275959014893,7.081157684326172
-33.00282543,27.90917155,330.2148,0.9532,4GR9XWW5+VM7V,South Africa,,Eastern Cape,Buffalo City Metropolitan Municipality,,East London,Southernwood,tertiary,road,,way,32017602.0,,,asphalt,POINT (27.90917155 -33.00282543),9.23996639251709,2.5384774208068848,25401.0,25401.0,119.02934265136719,120.80767822265625
-26.21982812,28.29721965,537.7859,0.9552,5G5CQ7JW+3V9R,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Wattville,house,building,,way,635374832.0,,,,POINT (28.29721965 -26.21982812),6.968925952911377,2.370166540145874,24461.0,24461.0,96.89273071289062,103.97581481933594
-26.28727361,27.77074385,501.8018,0.9578,5G59PQ7C+37X5,South Africa,,Gauteng,West Rand District Municipality,,Westonaria Local Municipality,Westonaria Ward 16,tertiary,road,,way,63073122.0,,,asphalt,POINT (27.77074385 -26.28727361),2.553050994873047,0.03589845076203346,488.0,488.0,1.4070097208023071,1.4541021585464478
-27.78810314,28.25988573,483.9762,0.9522,5G4C6765+QX2V,South Africa,,Free State,Thabo Mofutsanyana District Municipality,,Nketoana Local Municipality,Nketoana Ward 7,residential,road,,way,784261116.0,,,,POINT (28.25988573 -27.78810314),2.5,0.4719874858856201,4723.0,4723.0,4.44542121887207,4.045568466186523
-29.13509001,26.19632558,402.1221,0.9522,5G28V57W+XG87,South Africa,,Free State,Mangaung Metropolitan Municipality,,Bloemfontein,Hospitaalpark,house,building,,way,1192063218.0,,,,POINT (26.19632558 -29.13509001),7.623925685882568,2.3909010887145996,23901.0,23901.0,16.42970085144043,16.603652954101562
-26.78196289,27.74037254,734.973,0.9566,5G596P9R+649H,South Africa,,Free State,Fezile Dabi District Municipality,,Metsimaholo Local Municipality,Metsimaholo Ward 14,residential,road,,way,729084785.0,,,,POINT (27.74037254 -26.78196289),2.5,0.08486250042915344,853.0,853.0,0.5029058456420898,0.44271621108055115
-26.26282979,28.41750961,7079.3523,0.9587,5G5CPCP9+V26V,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Ekurhuleni Ward 78,works,man_made,,way,635441445.0,,,,POINT (28.41750961 -26.26282979),10.314066886901855,6.7850165367126465,67918.0,67918.0,0.23184135556221008,0.2487427443265915
-25.95673179,28.11640267,556.1706,0.95,5G6C24V8+8H2Q,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,,Noordwyk,residential,road,,way,15808625.0,,,asphalt,POINT (28.11640267 -25.95673179),6.284346580505371,1.6502820253372192,16509.0,16509.0,23.331396102905273,25.15673828125
-26.06845633,28.1130876,3250.2165,0.9621,5G5CW4J7+J68Q,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,Sandton,Johannesburg Ward 32,service,road,,way,37670126.0,,,asphalt,POINT (28.1130876 -26.06845633),12.369616508483887,6.949819564819336,69554.0,69554.0,0.0,0.0
-26.27274756,28.3991439,1021.2562,0.9643,5G5CP9GX+WM24,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Ekurhuleni Ward 78,unclassified,road,,way,765176786.0,,,asphalt,POINT (28.3991439 -26.27274756),2.810291051864624,0.3613893687725067,3842.0,3842.0,0.2815878391265869,0.29200080037117004
-26.65069426,27.94574082,1013.2839,0.9532,5G598WXW+P7H8,South Africa,,Gauteng,Sedibeng District Municipality,,Emfuleni Local Municipality,Peacehaven,residential,road,,way,931295293.0,,,,POINT (27.94574082 -26.65069426),9.628610610961914,4.745162010192871,47431.0,47431.0,1.6452851295471191,1.6784783601760864
-26.24582153,28.02304376,3841.8368,0.9607,5G5CQ23F+M6F3,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,City of Johannesburg Metropolitan Municipality,Johannesburg,Turffontein,residential,road,,way,713113786.0,,,asphalt,POINT (28.02304376 -26.24582153),12.383856773376465,3.329498767852783,34390.0,34390.0,32.23905944824219,34.761295318603516
-26.29302081,28.63226549,236.297,0.9501,5G5CPJ4J+QWR3,South Africa,,Gauteng,Sedibeng District Municipality,,Lesedi Local Municipality,Lesedi Ward 12,unclassified,road,,way,783861252.0,,,unpaved,POINT (28.63226549 -26.29302081),2.5,0.0544700026512146,555.0,555.0,0.672454833984375,0.6667758226394653
-26.15872975,28.20720713,1230.4307,0.9524,5G5CR6R4+GV4W,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Elandsfontein Rail,residential,road,,way,339016298.0,,,asphalt,POINT (28.20720713 -26.15872975),9.671258926391602,4.076164722442627,40822.0,40822.0,140.2023162841797,150.45143127441406
-26.69962558,27.88355598,1425.6772,0.9503,5G598V2M+4CVX,South Africa,,Gauteng,Sedibeng District Municipality,,Emfuleni Local Municipality,Sharpeville,primary,road,,way,127454246.0,,,asphalt,POINT (27.88355598 -26.69962558),3.6203417778015137,0.9196609258651733,9579.0,9579.0,0.5578365325927734,0.5151389837265015
-29.2550014,26.69395876,241.9374,0.9523,5G28PMVV+XHWW,South Africa,,Free State,Mangaung Metropolitan Municipality,,Botshabelo,Botshabelo-W,residential,road,,way,175639931.0,,,,POINT (26.69395876 -29.2550014),4.24222469329834,0.6876476407051086,6885.0,6885.0,23.532325744628906,24.685260772705078
-26.10397537,28.38261154,367.3276,0.953,5G5CV9WM+C25W,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Petit,residential,road,,way,83071937.0,,,asphalt,POINT (28.38261154 -26.10397537),2.5,0.6142874956130981,7855.0,7855.0,1.405842900276184,1.44943368434906
-26.00711984,27.9413943,1143.0399,0.9678,5G59XWVR+5H28,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,Roodepoort,Johannesburg Ward 100,unclassified,road,,way,60653297.0,,,,POINT (27.9413943 -26.00711984),4.565779685974121,1.6853251457214355,20067.0,20067.0,25.455575942993164,25.274751663208008
-28.21913612,28.30192828,742.0491,0.9576,5G3CQ8J2+8QVG,South Africa,,Free State,Thabo Mofutsanyana District Municipality,,Dihlabeng Local Municipality,Dihlabeng Ward 18,residential,road,,way,123587779.0,,,,POINT (28.30192828 -28.21913612),9.230559349060059,2.5729167461395264,26501.0,26501.0,1.105474591255188,1.0598255395889282
-26.35901474,27.89859502,2641.0515,0.9532,5G59JVRX+9CXC,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,,,Zakariyya Park,residential,road,,way,810828778.0,,,,POINT (27.89859502 -26.35901474),3.455681562423706,1.1933056116104126,11939.0,11939.0,75.02288055419922,80.89232635498047
-27.97102821,26.75353576,947.9715,0.9512,5G482QH3+HCMR,South Africa,,Free State,Lejweleputswa District Municipality,,Welkom,Orangia,tertiary,road,,way,375252095.0,,,asphalt,POINT (26.75353576 -27.97102821),5.248306751251221,1.999268889427185,20001.0,20001.0,2.9645795822143555,2.7632081508636475
-26.21292697,28.01758063,3737.838,0.9539,5G5CQ2P9+R2GW,South Africa,,Gauteng,City of Johannesburg Metropolitan Municipality,City of Johannesburg Metropolitan Municipality,Johannesburg,Mayfair,primary,road,,way,4339731.0,,,asphalt,POINT (28.01758063 -26.21292697),11.746356964111328,4.819283485412598,48242.0,48242.0,0.0,0.0
-26.14583748,26.1593075,570.9578,0.9502,5G58V535+MP7H,South Africa,,North West,Ngaka Modiri Molema District Municipality,,Ditsobotla Local Municipality,Ditsobotla Ward 6,residential,road,,way,775054497.0,,,,POINT (26.1593075 -26.14583748),8.250219345092773,3.775036334991455,37745.0,37745.0,5.640962600708008,5.761499404907227
-26.15607496,27.80307718,2347.6293,0.9637,5G59RRV3+H6G3,South Africa,,Gauteng,West Rand District Municipality,,Krugersdorp,Mogale City Ward 9,unclassified,road,,way,29329047.0,,,asphalt,POINT (27.80307718 -26.15607496),10.541421890258789,5.709603309631348,57103.0,57103.0,1.0378122329711914,1.0773801803588867
-27.21156182,26.92924715,1350.8986,0.9699,5G48QWQH+9MHH,South Africa,,Free State,Fezile Dabi District Municipality,,Moqhaka Local Municipality,Moqhaka Ward 25,service,road,,way,45781463.0,,,asphalt,POINT (26.92924715 -27.21156182),14.701799392700195,5.8184428215026855,60527.0,60527.0,1.680752158164978,1.6802453994750977
-27.07856769,26.72575966,318.1071,0.952,5G48WPCG+H8C7,South Africa,,Free State,Fezile Dabi District Municipality,,Moqhaka Local Municipality,Moqhaka Ward 23,residential,road,,way,793889030.0,,,,POINT (26.72575966 -27.07856769),2.5,0.1723650097846985,1735.0,1735.0,2.4965546131134033,2.3298261165618896
-26.13914751,28.24986761,1708.6776,0.9513,5G5CV66X+8WX5,South Africa,,Gauteng,City of Ekurhuleni Metropolitan Municipality,,,Bartlett Ext 20,aerodrome,aeroway,,way,27657491.0,,,,POINT (28.24986761 -26.13914751),2.5,0.7350674867630005,7358.0,7358.0,0.05824689567089081,0.061087094247341156
